Data,Prodotto,Categoria,Quantita,Prezzo_Unitario
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Mouse,Accessori,1,15.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Scheda Grafica,Hardware,1,800.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05, Scheda Grafica,Hardware,1,800.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Tastiera Meccanica,Accessori,2,90.0
2026-03-05,Scheda Madre,Hardware,2,150.0
